#,Name,Price,Ben,Emily,Helena,Justine
0,Delivery costs,0.0,yes,yes,yes,yes,yes
1,Voucher savings,-10.0,yes,yes,yes,yes,yes
2,Andrex Puppies on a Roll Toilet Tissue,4.25
3,Andrex Puppies on a Roll Toilet Tissue,4.25
4,Aussie 3 Minute Miracle Luscious Long Deep Treatment,4.99
5,Aussie Mega Conditioner,5.99
6,Aussie Mega Shampoo,5.99
7,Bart Coriander Paste,1.7
8,Bart Cumin Seeds,1.75
9,Bart Fairtrade Organic Ground Turmeric,1.69
10,Bart Ground Cumin,1.75
11,Bart Mild Chilli Powder,1.75
12,Cif Bathroom Spray,2.75
13,Cif Easy Lift Kitchen Cleaner,3.0
14,Comfort Pure Fabric Conditioner 42 Wash,2.0
15,Cooks' Ingredients Organic Herbs De Provence Waitrose,1.59
16,Cooks' Ingredients Wild Rosemary Waitrose,1.69
17,Cooks' Ingredients Wild Thyme Waitrose,1.62
18,Courgettes Waitrose,1.7
19,Evian Still Action Water,2.89
20,Evian Still Action Water,2.89
21,Fairtrade Bananas essential Waitrose,1.2
22,Fairtrade Home Ripening Bananas essentials Waitrose,1.39
23,Fresh Wholemeal Pitta Bread essential Waitrose,0.7
24,Fresh Wholemeal Pitta Bread essential Waitrose,0.7
25,Heinz Tomato Ketchup,2.19
26,Melitta Four Cup Filter Papers,1.19
27,Ocado Red Onions,0.8
28,Oral-B Satin Mint Dental Tape 25m,2.0
29,Organic Garlic Waitrose,0.84
30,Persil Small & Mighty Laundry Liquid Colour 40 Wash,10.0
31,Rombouts Cafe Colombia,2.55
32,Sanex Dermo Moisturising Shower Gel,1.99
33,Sanex Dermo Moisturising Shower Gel,1.99
34,Stabilo Boss Highlighters,2.66
35,St Ives Blemish Scrub,3.59
36,Tilda Pure Basmati Rice,1.99
37,Tilda Pure Basmati Rice,1.99
38,Twinings Pure Peppermint,3.69
39,"Edamame, Pea & Wasabi Dip Waitrose",1.69
40,"Edamame, Pea & Wasabi Dip Waitrose",1.69
41,Ocado Aubergines,1.99
42,Ocado Aubergines,1.99
43,"Ocado British Back Bacon Unsmoked, 8 Rashers",1.75
44,"Ocado British Back Bacon Unsmoked, 8 Rashers",1.75
45,Ocado Extra Mature Cheddar,2.34
46,Ocado Mixed Weight Free Range Eggs,3.0
47,Ocado Onions,0.8
48,Ocado Red Peppers,1.32
49,Organic Romaine Lettuce Waitrose,1.34
50,Rich & Smooth Taramasalata Waitrose,1.21
51,Rich & Smooth Taramasalata Waitrose,1.21
52,Birds Eye Garden Peas,1.0
53,Breaded Chicken Chunks Frozen Waitrose,3.0
54,Cooked King Prawns essential Waitrose,3.25
55,Frozen Raspberries essential Waitrose,2.0
56,Frozen Raspberries essential Waitrose,2.0
57,Frozen Strawberry & Banana Smoothie Mix Waitrose Love Life,2.0
58,Frozen Strawberry & Banana Smoothie Mix Waitrose Love Life,2.0
59,Lick Straight-Up Natural Fat-Free Creamy Frozen Yogurt,3.99
60,Lick Straight-Up Natural Fat-Free Creamy Frozen Yogurt,3.99
61,McCain Rustic Oven Chips,1.75
62,Young's 4 Wild Pink Salmon Fillets,3.5
63,Young's 4 Wild Pink Salmon Fillets,3.5
